CODIGOESTR;ESTRUCT;HORASFUNC1;HORASFUNC2;DIASFUNCME;SUBTIPO;SUBT;Luminaria.BAJOMEDICION;Luminaria.POTENCIA;POTENCIA_2;ALIMENTA_5;ALIM;SUBTIPO_1;TRAF;VOLTAJE;POTENCIA TRAFO;TRAFO;KWH;;;;;;;;
APO0374;LDOS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T15;Guanujo - Simiatug;1;Transformador Monofásico en poste;7.97 kV;37.5;0301239;36;;;;;;;;
APO0339;LDSS250ADC;6;6;100;4;Sodio Cerrada;0;100;175;03GR010T21;Guaranda - Chimbo;1;Transformador Monofásico en poste;7.62 kV;37.5;0308244;50;;;;;;;;
APO0339;LDSS250ADC;6;6;100;4;Sodio Cerrada;0;100;175;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.97 kV;25;0303295;50;;;;;;;;
APO0339;LDSS250ADC;6;6;100;4;Sodio Cerrada;0;100;175;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.97 kV;15;0303554;50;;;;;;;;
APO0619;LDOS250ADC;6;6;100;4;Sodio Cerrada;0;100;175;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.62 kV;3;0303430;50;;;;;;;;
APO0619;LDOS250ADC;6;6;100;4;Sodio Cerrada;0;100;175;03CO040T12;Cochabamba - Asuncion;1;Transformador Monofásico en poste;7.62 kV;25;0303295;50;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03EC030T13;Echeandía-Centro;1;Transformador Monofásico en poste;7.97 kV;25;0303295;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T11;Guanujo - Cuatro Esquinas;1;Transformador Monofásico en poste;7.97 kV;25;0303295;36;;;;;;;;
APO0311;LDPS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T11;Guanujo - Cuatro Esquinas;1;Transformador Monofásico en poste;7.97 kV;25;0303295;36;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GN020T11;Guanujo - Cuatro Esquinas;1;Transformador Monofásico en poste;7.97 kV;25;0303295;36;;;;;;;;
